ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno
CLI10030,M,No,23,No,Funcionario,<10annos,Bajo,3,2001,Generacion Z,15394,Soria,2202,30,1,304,5
CLI10031,M,No,23,No,Funcionario,<10annos,Bajo,5,2001,Generacion Z,22448,Albacete,1719,30,1,382,3
CLI10032,F,Si,45,No,Otros,+20annos,Medio,4,1979,Generacion X,86899,Vizcaya,1123,30,0,542,4
CLI10033,F,No,54,No,Ingeniero,+20annos,Bajo,1,1970,Generacion X,112072,Caceres,955,120,0,389,3
CLI10034,F,No,56,No,Otros,+20annos,Bajo,1,1968,Generacion X,102706,Albacete,955,120,0,316,5
CLI10035,M,Si,31,No,Funcionario,<10annos,Medio,5,1993,Millennials,30641,Vizcaya,1606,30,0,394,3
CLI10036,M,No,41,Si,Funcionario,10-20annos,Bajo,2,1983,Millennials,74453,Madrid,1054,50,0,449,3
CLI10037,F,Si,69,NULL,Artista,+20annos,Medio,3,1955,Generacion X,47643,LLeida,818,30,1,248,NULL
CLI10038,M,No,21,No,Funcionario,<10annos,Bajo,4,2003,Generacion Z,21922,Cordoba,1892,30,1,359,5
CLI10039,F,No,35,No,Funcionario,10-20annos,Bajo,3,1989,Millennials,29858,Burgos,1836,30,1,389,3
CLI1004,F,NULL,54,No,Funcionario,+20annos,Medio,2,1970,Generacion X,101647,Cadiz,1443,120,0,132,NULL
CLI10040,F,Si,56,No,Artista,+20annos,Bajo,1,1968,Generacion X,116712,Navarra,1482,120,1,120,NULL
CLI10041,M,Si,29,No,Otros,<10annos,Bajo,2,1995,Millennials,18405,Leon,2651,30,0,53,NULL
CLI10042,M,Si,67,No,Artista,+20annos,Bajo,1,1957,Generacion X,81561,Melilla,818,120,0,468,3
CLI10043,F,Si,56,Si,Artista,+20annos,Medio,4,1968,Generacion X,35364,Segovia,759,30,0,95,NULL
CLI10044,F,Si,50,Si,Artista,+20annos,Medio,3,1974,Generacion X,96083,Granada,896,80,0,347,5
CLI10045,M,Si,32,Si,Otros,10-20annos,Alto,2,1992,Millennials,18234,Orense,1997,30,0,519,4
CLI10046,M,Si,52,No,Servicios,+20annos,Bajo,5,1972,Generacion X,48556,Guadalajara,622,30,0,353,5
CLI10047,M,No,28,Si,Medico,<10annos,Bajo,2,1996,Millennials,28126,Jaen,2099,30,1,378,3
CLI10048,M,No,44,No,Negocios/empresa,+20annos,Bajo,5,1980,Generacion X,81077,Caceres,2066,30,0,585,4
CLI10049,M,No,50,Si,Servicios,+20annos,Bajo,1,1974,Generacion X,51599,Toledo,1619,50,1,321,5
CLI1005,F,Si,81,Si,Servicios,+20annos,Bajo,1,1943,Generacion Silenciosa,22520,Navarra,1697,30,0,220,NULL
CLI10050,M,Si,35,Si,Otros,10-20annos,Medio,2,1989,Millennials,21382,Badajoz,1767,30,0,588,4
CLI10051,M,Si,42,Si,Artista,+20annos,Bajo,3,1982,Millennials,90912,Valencia,2066,30,0,46,NULL
CLI10052,F,No,42,Si,Artista,+20annos,Bajo,2,1982,Millennials,56181,Sevilla,732,50,0,526,4
CLI10053,F,Si,53,Si,Ingeniero,+20annos,Bajo,3,1971,Generacion X,70540,ivila,1013,80,0,55,NULL
CLI10054,F,No,78,Si,Medico,+20annos,Bajo,1,1946,Generacion X,113998,Tarragona,74,50,0,414,3
CLI10055,F,Si,51,Si,Artista,+20annos,Bajo,3,1973,Generacion X,50710,Gerona,857,30,0,264,NULL
CLI10056,F,Si,51,Si,Artista,+20annos,Bajo,2,1973,Generacion X,86652,Caceres,935,50,1,361,5
CLI10057,F,Si,54,Si,Artista,+20annos,Bajo,2,1970,Generacion X,28962,Granada,11305,30,0,214,NULL
CLI10058,M,Si,47,No,Otros,+20annos,Bajo,3,1977,Generacion X,125707,Santa Cruz de Tenerife,1697,200,0,484,3
CLI10059,F,No,42,Si,Artista,+20annos,Bajo,4,1982,Millennials,41471,Guipiºzcoa,1836,30,0,597,1
CLI1006,M,No,30,Si,Funcionario,<10annos,Bajo,2,1994,Millennials,24574,Santa Cruz de Tenerife,1514,30,1,168,NULL
CLI10060,M,No,28,Si,Funcionario,<10annos,Bajo,4,1996,Millennials,20959,La Corui±a,1754,30,0,466,3
CLI10061,F,Si,51,Si,Ingeniero,+20annos,Bajo,4,1973,Generacion X,74075,Burgos,1209,80,0,426,3
CLI10062,F,No,31,Si,Ingeniero,<10annos,Bajo,3,1993,Millennials,28041,Las Palmas,1445,30,0,158,NULL
CLI10063,F,No,45,Si,Otros,+20annos,Bajo,4,1979,Generacion X,109478,Murcia,1238,30,0,161,NULL
CLI10064,F,No,35,Si,Artista,10-20annos,Bajo,5,1989,Millennials,26148,Jaen,179,30,0,130,NULL
CLI10065,F,No,23,No,Funcionario,<10annos,Bajo,4,2001,Generacion Z,13024,Toledo,203,30,0,485,3
CLI10066,M,No,24,No,Funcionario,<10annos,Bajo,6,2000,Generacion Z,15038,Ciudad Real,11325,30,0,43,NULL
CLI10067,M,No,30,No,Funcionario,<10annos,Bajo,5,1994,Millennials,25282,La Corui±a,1307,30,0,288,NULL
CLI10068,M,Si,44,Si,Artista,+20annos,Medio,2,1980,Generacion X,34194,Soria,1698,30,1,171,NULL
CLI10069,F,Si,75,No,Ingeniero,+20annos,Bajo,1,1949,Generacion X,53833,Las Palmas,1111,30,1,398,3
CLI1007,M,Si,77,Si,Artista,+20annos,Alto,2,1947,Generacion X,74519,Baleares,681,50,0,350,5
CLI10070,F,No,28,No,Construccion,<10annos,Bajo,7,1996,Millennials,19814,Albacete,1374,30,0,492,3
CLI10071,M,No,31,No,Funcionario,<10annos,Bajo,4,1993,Millennials,24129,Jaen,939,30,0,379,3
CLI10072,M,No,31,No,Negocios/empresa,<10annos,Bajo,8,1993,Millennials,30178,Palencia,847,30,0,76,NULL
CLI10073,M,No,30,No,Otros,<10annos,Bajo,3,1994,Millennials,28894,La Corui±a,732,30,0,105,NULL
CLI10074,M,Si,74,No,Otros,+20annos,Medio,4,1950,Generacion X,82103,Baleares,15215,30,0,330,5
CLI10075,M,Si,51,No,Ejecutivo,+20annos,Bajo,9,1973,Generacion X,50742,Sevilla,1267,30,0,254,NULL
CLI10076,F,No,36,No,Otros,10-20annos,Bajo,4,1988,Millennials,23367,La Rioja,1399,30,0,495,3
CLI10077,F,Si,44,Si,Medico,+20annos,Medio,3,1980,Generacion X,108678,Pontevedra,663,30,0,246,NULL
CLI10078,F,Si,53,No,Servicios,+20annos,Medio,7,1971,Generacion X,110010,Vizcaya,1052,30,0,198,NULL
CLI10079,M,Si,46,No,Ejecutivo,+20annos,Alto,5,1978,Generacion X,74824,Cordoba,1561,30,0,213,NULL
CLI1008,F,Si,68,Si,Servicios,+20annos,Bajo,2,1956,Generacion X,61865,Valladolid,779,50,0,335,5
CLI10080,M,No,62,Si,Servicios,+20annos,Bajo,1,1962,Generacion X,65149,Palencia,1424,50,1,117,NULL
CLI10081,F,No,56,Si,Ingeniero,+20annos,Bajo,1,1968,Generacion X,80564,Segovia,1033,50,0,506,4
CLI10082,F,No,30,Si,Funcionario,<10annos,Bajo,1,1994,Millennials,24531,Albacete,1629,30,0,262,NULL
CLI10083,F,No,28,Si,Medico,<10annos,Bajo,3,1996,Millennials,22954,Leon,1754,30,1,370,3
CLI10084,F,Si,56,No,Artista,+20annos,Alto,2,1968,Generacion X,82472,Alicante,818,120,0,381,3
CLI10085,F,Si,29,Si,Funcionario,<10annos,Medio,2,1995,Millennials,18414,Madrid,303,30,1,247,NULL
CLI10086,F,No,39,Si,Medico,10-20annos,Bajo,1,1985,Millennials,23732,Almeri­a,847,30,0,250,NULL
CLI10087,F,NULL,28,Si,Medico,<10annos,Bajo,3,1996,Millennials,26030,Granada,1995,30,1,325,5
CLI10088,M,No,33,No,Funcionario,10-20annos,Bajo,3,1991,Millennials,18298,Toledo,847,30,0,519,4
CLI10089,F,No,45,Si,Funcionario,+20annos,Bajo,1,1979,Generacion X,91130,Jaen,663,50,0,288,NULL
CLI1009,M,No,41,Si,Artista,10-20annos,Bajo,1,1983,Millennials,100722,Granada,156,50,0,95,NULL
CLI10090,M,Si,46,Si,Artista,+20annos,Bajo,3,1978,Generacion X,39822,Valladolid,115,30,0,197,NULL
CLI10091,F,Si,44,Si,Artista,+20annos,Alto,5,1980,Generacion X,65803,Almeri­a,1307,30,0,577,1
CLI10092,M,No,40,Si,Otros,10-20annos,Bajo,1,1984,Millennials,82317,Guadalajara,1744,50,1,270,NULL
CLI10093,F,No,43,Si,Artista,+20annos,Bajo,1,1981,Millennials,36678,Teruel,1928,50,1,294,NULL
CLI10094,M,Si,44,Si,Ejecutivo,+20annos,Alto,3,1980,Generacion X,121189,La Corui±a,1146,200,0,400,3
CLI10095,F,Si,44,Si,Ingeniero,+20annos,Medio,2,1980,Generacion X,59561,Vizcaya,1238,50,0,245,NULL
CLI10096,M,No,31,Si,Artista,<10annos,Bajo,6,1993,Millennials,28964,Badajoz,686,30,1,379,3
CLI10097,F,No,34,Si,Negocios/empresa,10-20annos,Bajo,1,1990,Millennials,20958,Guadalajara,1008,30,1,376,3
CLI10098,M,No,45,Si,Artista,+20annos,Bajo,1,1979,Generacion X,91295,Sevilla,1652,50,0,396,1
CLI10099,F,No,31,Si,Ingeniero,<10annos,Bajo,5,1993,Millennials,21062,Zamora,1698,30,0,358,5
CLI101,M,Si,33,No,Ingeniero,10-20annos,Medio,3,1991,Millennials,26010,Valencia,1169,30,1,152,NULL
CLI1010,F,No,44,No,Funcionario,+20annos,Bajo,3,1980,Generacion X,82413,Zaragoza,709,30,1,128,NULL
CLI10100,M,No,33,Si,Funcionario,10-20annos,Bajo,1,1991,Millennials,22697,ilava,2043,30,0,448,3
CLI10101,F,No,33,Si,Funcionario,10-20annos,Bajo,1,1991,Millennials,22806,Ciudad Real,1008,30,0,134,NULL
CLI10102,F,No,42,Si,Artista,+20annos,Bajo,2,1982,Millennials,42794,Vizcaya,893,50,0,474,3
CLI10103,M,Si,47,Si,Artista,+20annos,Bajo,1,1977,Generacion X,115634,Albacete,818,50,0,395,3
CLI10104,M,No,32,Si,Otros,10-20annos,Bajo,1,1992,Millennials,19515,Jaen,1192,30,0,543,4
CLI10105,F,No,33,Si,Funcionario,10-20annos,Bajo,3,1991,Millennials,24037,Orense,1859,30,0,129,NULL
CLI10106,M,Si,30,Si,Funcionario,<10annos,Bajo,2,1994,Millennials,30553,Gerona,1813,30,1,108,NULL
CLI10107,F,Si,53,Si,Artista,+20annos,Medio,2,1971,Generacion X,112595,Leon,1287,50,0,353,5
CLI10108,F,No,56,Si,Artista,+20annos,Bajo,1,1968,Generacion X,42569,Leon,759,50,0,498,3
CLI10109,F,No,53,Si,Negocios/empresa,+20annos,Bajo,1,1971,Generacion X,129312,LLeida,974,50,0,188,NULL
CLI1011,M,No,52,Si,Servicios,+20annos,Bajo,1,1972,Generacion X,79139,Orense,1658,50,0,452,1
CLI10110,F,No,31,Si,Negocios/empresa,<10annos,Bajo,1,1993,Millennials,21533,Jaen,1974,30,0,504,4
CLI10111,F,No,44,Si,Artista,+20annos,Bajo,1,1980,Generacion X,86268,Albacete,1146,50,0,351,5
CLI10112,M,Si,56,Si,Artista,+20annos,Bajo,2,1968,Generacion X,91677,Valencia,896,50,1,222,NULL
CLI10113,F,Si,40,No,Negocios/empresa,10-20annos,Bajo,2,1984,Millennials,49599,Cuenca,1468,30,0,416,3
CLI10114,F,No,56,Si,Negocios/empresa,+20annos,Bajo,1,1968,Generacion X,67106,Valencia,759,50,0,56,NULL
CLI10115,M,Si,50,Si,Ejecutivo,+20annos,Alto,4,1974,Generacion X,67996,Salamanca,7,80,1,137,NULL
CLI10116,M,No,44,Si,Artista,+20annos,Bajo,1,1980,Generacion X,109040,Cuenca,1261,50,1,218,NULL
CLI10117,M,No,44,Si,Artista,+20annos,Bajo,1,1980,Generacion X,125899,La Rioja,1629,50,1,199,NULL
CLI10118,M,Si,45,Si,Artista,+20annos,Bajo,2,1979,Generacion X,108619,Salamanca,1606,50,0,492,1
CLI10119,M,Si,47,Si,Otros,+20annos,Medio,4,1977,Generacion X,98845,Sevilla,1306,80,1,306,5
CLI1012,M,Si,57,Si,Otros,+20annos,Medio,4,1967,Generacion X,117511,Santa Cruz de Tenerife,1091,80,0,154,NULL
CLI10120,M,NULL,23,No,Funcionario,<10annos,Bajo,3,2001,Generacion Z,13426,Teruel,1443,30,1,380,3
CLI10121,M,No,25,No,Funcionario,<10annos,Bajo,4,1999,Generacion Z,31975,Teruel,1926,30,0,431,3
CLI10122,F,No,34,No,Medico,10-20annos,Bajo,3,1990,Millennials,21526,Ciudad Real,893,30,0,527,4
CLI10123,F,Si,46,Si,Otros,+20annos,Bajo,2,1978,Generacion X,126327,Huesca,1404,50,0,539,1
CLI10124,M,Si,67,No,Artista,+20annos,Bajo,1,1957,Generacion X,108904,ivila,1248,120,0,170,NULL
CLI10125,F,Si,50,Si,Construccion,+20annos,Bajo,1,1974,Generacion X,44584,Vizcaya,1639,50,0,311,5
CLI10126,F,Si,69,Si,Artista,+20annos,Bajo,1,1955,Generacion X,39911,Navarra,16,50,1,301,5
CLI10127,M,Si,95,No,Servicios,+20annos,Bajo,1,1929,Generacion Silenciosa,42398,Madrid,642,30,1,230,NULL
CLI10128,F,Si,74,No,Ingeniero,+20annos,Alto,3,1950,Generacion X,87994,Zaragoza,1013,30,1,398,3
CLI10129,M,Si,78,No,Ejecutivo,+20annos,Alto,3,1946,Generacion X,56726,Madrid,955,30,0,122,NULL
CLI1013,F,Si,63,Si,Ejecutivo,+20annos,Medio,2,1961,Generacion X,108660,Soria,1502,50,1,374,3
CLI10130,F,Si,47,No,Otros,+20annos,Bajo,2,1977,Generacion X,67201,Pontevedra,1404,30,1,358,5
CLI10131,M,NULL,31,No,Otros,<10annos,Bajo,2,1993,Millennials,27786,Orense,1422,30,0,532,4
CLI10132,M,Si,52,No,Otros,+20annos,Bajo,2,1972,Generacion X,53670,Salamanca,1404,30,0,464,3
CLI10133,F,Si,58,Si,Artista,+20annos,Medio,4,1966,Generacion X,114237,La Corui±a,117,80,1,139,NULL
CLI10134,F,Si,40,No,Otros,10-20annos,Medio,2,1984,Millennials,22365,Santa Cruz de Tenerife,1468,30,0,143,NULL
CLI10135,M,Si,39,No,Otros,10-20annos,Bajo,1,1985,Millennials,30486,Sevilla,1054,30,1,399,3
CLI10136,F,Si,53,Si,Artista,+20annos,Alto,4,1971,Generacion X,22129,Huesca,1697,30,0,264,NULL
CLI10137,F,Si,66,Si,Artista,+20annos,Bajo,3,1958,Generacion X,105751,Guipiºzcoa,955,80,0,207,NULL
CLI10138,F,Si,50,No,Ejecutivo,+20annos,Bajo,1,1974,Generacion X,60408,Burgos,1443,30,1,172,NULL
CLI10139,F,Si,46,No,Ingeniero,+20annos,Bajo,2,1978,Generacion X,53037,Toledo,994,30,0,186,NULL
CLI1014,M,No,41,Si,Artista,10-20annos,Bajo,3,1983,Millennials,44266,Huelva,133,30,0,521,1
CLI10140,F,Si,98,Si,Servicios,+20annos,Bajo,1,1926,Generacion Silenciosa,113338,Jaen,955,50,0,72,NULL
CLI10141,F,No,25,No,Negocios/empresa,<10annos,Bajo,2,1999,Generacion Z,29804,Valencia,2823,30,1,121,NULL
CLI10142,M,Si,51,Si,Construccion,+20annos,Bajo,1,1973,Generacion X,120379,Ceuta,1737,50,0,577,1
CLI10143,M,No,24,No,Servicios,<10annos,Bajo,4,2000,Generacion Z,16208,Barcelona,1719,30,0,144,NULL
CLI10144,F,No,33,No,Funcionario,10-20annos,Bajo,7,1991,Millennials,20208,ilava,179,30,1,378,3
CLI10145,M,Si,64,Si,Otros,+20annos,Bajo,1,1960,Generacion X,95401,Santa Cruz de Tenerife,1717,50,0,366,1
CLI10146,M,Si,80,Si,Artista,+20annos,Medio,4,1944,Generacion Silenciosa,126109,Guipiºzcoa,7,80,1,393,3
CLI10147,F,Si,78,Si,Servicios,+20annos,Bajo,1,1946,Generacion X,59401,Guadalajara,1013,50,0,504,4
CLI10148,F,Si,39,No,Ingeniero,10-20annos,Bajo,5,1985,Millennials,21647,Huesca,2043,30,0,468,3
CLI10149,M,Si,57,Si,Otros,+20annos,Medio,4,1967,Generacion X,63920,Zaragoza,1697,80,0,465,3
CLI1015,M,Si,66,Si,Artista,+20annos,Bajo,1,1958,Generacion X,127240,Lugo,955,50,1,274,NULL
CLI10150,M,Si,92,Si,Servicios,+20annos,Bajo,2,1932,Generacion Silenciosa,99774,Cuenca,1013,50,0,570,4
CLI10151,M,Si,52,Si,Otros,+20annos,Medio,5,1972,Generacion X,90733,Pontevedra,955,30,1,365,NULL
CLI10152,M,Si,43,No,Ejecutivo,+20annos,Bajo,2,1981,Millennials,48755,Lugo,1399,30,0,233,NULL
CLI10153,F,Si,44,No,Ingeniero,+20annos,Bajo,3,1980,Generacion X,126981,Albacete,732,200,0,378,3
CLI10154,F,No,51,Si,Artista,+20annos,Bajo,1,1973,Generacion X,86166,ilava,117,50,0,368,3
CLI10155,M,No,44,Si,Artista,+20annos,Bajo,2,1980,Generacion X,44559,Guipiºzcoa,11,50,0,106,NULL
CLI10156,F,No,30,No,Artista,<10annos,Bajo,6,1994,Millennials,28770,ivila,801,30,1,117,NULL
CLI10157,F,No,25,No,Funcionario,<10annos,Bajo,4,1999,Generacion Z,28516,Granada,2202,30,0,125,NULL
CLI10158,F,No,23,Si,Artista,<10annos,Bajo,2,2001,Generacion Z,14041,Leon,2789,30,1,188,NULL
CLI10159,M,Si,77,No,Servicios,+20annos,Alto,2,1947,Generacion X,52019,Castellon,896,30,0,314,5
CLI1016,M,Si,47,Si,Ejecutivo,+20annos,Alto,3,1977,Generacion X,52676,Toledo,622,30,0,291,NULL
CLI10160,M,Si,31,Si,Otros,<10annos,Bajo,2,1993,Millennials,23410,Las Palmas,1675,30,0,182,NULL
CLI10161,F,Si,64,Si,Construccion,+20annos,Bajo,4,1960,Generacion X,78658,ivila,1385,80,0,549,1
CLI10162,F,Si,30,Si,Otros,<10annos,Medio,2,1994,Millennials,19097,Badajoz,1468,30,0,466,3
CLI10163,F,Si,54,No,Ingeniero,+20annos,Medio,5,1970,Generacion X,26098,Burgos,1209,30,0,136,NULL
CLI10164,F,Si,41,No,Ingeniero,10-20annos,Medio,3,1983,Millennials,31365,Santa Cruz de Tenerife,1698,30,0,65,NULL
CLI10165,M,Si,43,No,Otros,+20annos,Medio,4,1981,Millennials,89250,Valladolid,1606,30,1,366,3
CLI10166,F,No,31,No,Medico,<10annos,Bajo,4,1993,Millennials,28281,Guipiºzcoa,202,30,0,177,NULL
CLI10167,M,Si,80,No,Otros,+20annos,Medio,2,1944,Generacion Silenciosa,53497,Murcia,115,30,0,176,NULL
CLI10168,F,Si,56,Si,Artista,+20annos,Medio,5,1968,Generacion X,43550,Salamanca,1502,30,0,87,NULL
CLI10169,F,Si,53,Si,Medico,+20annos,Medio,3,1971,Generacion X,66112,Palencia,564,80,0,543,4
CLI1017,M,Si,41,Si,Otros,10-20annos,Bajo,1,1983,Millennials,124759,Santa Cruz de Tenerife,1721,50,0,554,1
CLI10170,M,Si,79,Si,Construccion,+20annos,Bajo,1,1945,Generacion Silenciosa,34814,La Corui±a,1111,30,1,119,NULL
CLI10171,M,Si,52,No,Artista,+20annos,Medio,1,1972,Generacion X,88831,Toledo,1013,120,0,480,3
CLI10172,F,Si,74,Si,Medico,+20annos,Bajo,1,1950,Generacion X,32236,Ceuta,1678,30,0,251,NULL
CLI10173,M,Si,85,Si,Servicios,+20annos,Alto,2,1939,Generacion Silenciosa,41602,Albacete,1502,50,0,284,NULL
CLI10174,M,Si,51,Si,Artista,+20annos,Medio,3,1973,Generacion X,81028,Guadalajara,857,80,0,490,3
CLI10175,F,Si,57,Si,Artista,+20annos,Medio,4,1967,Generacion X,60728,Soria,74,80,0,178,NULL
CLI10176,M,Si,74,No,Servicios,+20annos,Bajo,1,1950,Generacion X,56887,Caceres,1502,30,0,545,4
CLI10177,M,Si,68,Si,Medico,+20annos,Medio,4,1956,Generacion X,33016,ilava,1091,30,0,149,NULL
CLI10178,M,Si,50,Si,Medico,+20annos,Medio,3,1974,Generacion X,75329,Cordoba,1385,80,1,187,NULL
CLI10179,M,Si,44,Si,Medico,+20annos,Medio,5,1980,Generacion X,54941,Cordoba,732,30,0,112,NULL
CLI1018,M,Si,65,Si,Otros,+20annos,Medio,3,1959,Generacion X,44490,Cadiz,955,30,0,524,4
CLI10180,F,Si,66,Si,Artista,+20annos,Medio,2,1958,Generacion X,42980,Alicante,1385,50,0,361,5
CLI10181,F,Si,41,Si,Medico,10-20annos,Medio,4,1983,Millennials,89677,Palencia,1146,30,1,253,NULL
CLI10182,M,Si,76,No,Ejecutivo,+20annos,Alto,1,1948,Generacion X,38381,Cordoba,564,30,0,287,NULL
CLI10183,F,Si,64,Si,Artista,+20annos,Alto,4,1960,Generacion X,90722,Huesca,681,80,0,206,NULL
CLI10184,M,Si,57,Si,Artista,+20annos,Bajo,1,1967,Generacion X,36066,Baleares,1717,50,1,251,NULL
CLI10185,M,No,22,No,Funcionario,<10annos,Bajo,5,2002,Generacion Z,18267,Segovia,1823,30,1,134,NULL
CLI10186,F,NULL,25,No,Funcionario,<10annos,Bajo,4,1999,Generacion Z,25331,Lugo,2202,30,1,122,NULL
CLI10187,M,Si,73,Si,Artista,+20annos,Bajo,1,1951,Generacion X,49123,Vizcaya,15215,50,1,230,NULL
CLI10188,M,No,21,No,Funcionario,<10annos,Bajo,3,2003,Generacion Z,12761,Cordoba,2823,30,0,219,NULL
CLI10189,F,Si,58,Si,Artista,+20annos,Medio,5,1966,Generacion X,115807,Vizcaya,994,30,0,231,NULL
CLI1019,F,Si,66,Si,Artista,+20annos,Bajo,3,1958,Generacion X,67634,La Rioja,115,80,0,111,NULL
CLI10190,F,Si,65,Si,Construccion,+20annos,Bajo,1,1959,Generacion X,38204,Zaragoza,603,50,1,325,5
CLI10191,F,Si,67,Si,Artista,+20annos,Medio,4,1957,Generacion X,102091,Palencia,1443,80,0,266,NULL
CLI10192,F,Si,75,Si,Ingeniero,+20annos,Bajo,2,1949,Generacion X,66969,Leon,74,50,1,217,NULL
CLI10193,M,No,22,No,Funcionario,<10annos,Bajo,3,2002,Generacion Z,22581,Gerona,1892,30,1,269,NULL
CLI10194,M,No,22,No,Funcionario,<10annos,Bajo,4,2002,Generacion Z,16292,Almeri­a,2409,30,1,282,NULL
CLI10195,F,NULL,54,Si,Artista,+20annos,Bajo,4,1970,Generacion X,120744,Tarragona,1228,80,0,109,NULL
CLI10196,M,No,21,No,Funcionario,<10annos,Bajo,3,2003,Generacion Z,17704,Segovia,1685,30,0,460,3
CLI10197,F,No,30,No,Funcionario,<10annos,Bajo,4,1994,Millennials,29400,Madrid,1215,30,1,180,NULL
CLI10198,M,Si,35,Si,Servicios,10-20annos,Bajo,2,1989,Millennials,26083,Teruel,1284,30,1,319,5
